Player,Picks Taken Per Game,Picks Set Per Game,Minutes (Total),SSI Player ID
Jay Scrubb,1.500,0.857,187,8488ec31-e9a6-4535-a007-3b6fb6c5f1bd
Tylor Perry,3.111,0.889,72,0b9ca9bc-f567-4768-9cc5-5e42d6fc8dce
Trae Hannibal,2.933,0.400,182,636fef85-a117-4abd-96b9-a45df0f16b53
Keshon Gilbert,26.591,1.205,1154,10762d58-0a4c-416e-8e01-0af744c29286
Issac McBride,27.500,0.750,88,e98d2d7d-61a8-42e6-9c79-f1c3d6667ec9
Rayan Rupert,4.667,5.000,84,f99ade9a-ec49-4d41-b7f8-7e1b16c9ed79
Stanley Umude,3.186,2.535,1233,73712bb9-3143-4176-8eb3-cef6d45e9f92
Devon Higgs,0.500,2.500,108,72b7a0bc-f1b6-4996-89e8-8c6535bd71c0
Derrin Boyd,1.500,1.000,134,6dfc6fb5-d921-403b-b590-c1c4c3e900a9
Kario Oquendo,1.429,0.857,58,1ea004d3-81c8-428e-920e-2fde02ccf379
Elfrid Payton,13.367,1.400,590,ff4126dc-89ef-11e6-a96d-a45e60e298d3
Sean Pedulla,19.302,0.884,1064,6068f2de-9744-432d-b3f4-f73da0894927
Paul Watson,2.519,1.667,654,1aae577a-f08a-437b-81ed-160d66e586b9
Bryce Wills,1.500,0.000,5,1743e5fa-bc43-42e4-92c1-fa57e57d6312
DaJuan Gordon,3.563,1.500,725,b7cd24eb-bd7e-4dcc-99a2-7236606d1541
Anthony Pritchard,23.789,1.974,948,58d7789a-e4bc-46cd-91d5-01526491d417
Joey Calcaterra,4.333,0.667,41,f07958e4-943d-41bd-add3-e75692af9566
Javante McCoy,11.900,2.175,853,fac10e71-d936-4a9b-b017-2e3b743f9833
Kyle Mangas,9.783,7.913,1315,509e10a3-69e7-41cc-a0b5-44de8eb4659f
Zhuric Phelps,17.429,1.190,426,cbddda95-fa69-4ae6-b6b0-247f5c669b7f
Trey McGowens,5.026,1.421,580,a17cb8d2-4fe7-49a1-b4b9-e56f6316d694
Javonte Smart,16.208,1.229,1131,a340ee6f-51b2-400d-8c06-295617b4c779
Miles Kelly,9.594,6.563,873,8e41f240-6f89-4f54-bcc5-534112efd3c2
Chase Hunter,7.400,1.444,779,50fd1b80-b17c-4168-9cd8-b67adeef9040
Trey Alexander,28.556,2.139,1169,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Alondes Williams,15.314,4.114,1092,e555cb48-990b-4ef7-8464-59adc6adf34d
Ryan Woolridge,11.429,0.914,787,a4f5f591-7988-4761-b96d-5efb627bd420
Taevion Kinsey,10.174,4.022,1404,b17e9b18-8167-47ec-b96c-1a1c88208376
Yuri Collins,16.000,1.063,437,7a58adf5-73d4-4f5e-b042-6ab0d8862313
TyTy Washington Jr.,24.214,1.536,845,0b1c2f8c-380e-4f07-85b0-3b5ff4650d00
P.J. Hayes,0.000,0.000,11,659ecb80-2665-4645-b890-ef69b738b5e3
Killian Hayes,24.414,0.552,778,9a826fec-5df7-4a14-8637-3364dc9433c2
Marcus Sasser,28.000,0.000,20,5fc1833e-3993-49a8-8970-87ad09b61dff
Caleb Grill,0.756,3.634,787,bbae8544-616e-4d08-9a98-a20e5d47e694
Kobe Stewart,1.477,1.068,771,9c8748fc-6d1c-4911-99a0-94e1cf486b48
Erik Reynolds II,3.758,1.091,529,f3572151-dba9-4dc4-a48a-792e17a3180b
Dink Pate,19.592,1.735,1357,dc8f2d40-88ec-44ef-b6ef-09404a5d49cd
Dennis Smith Jr.,13.750,0.719,698,4a0f330a-e571-48c4-a685-f82c9436c964
MJ Walker,4.294,2.118,684,2733a0f6-5816-47e9-9972-a4f253f15038
Tommy Bruner,11.714,0.286,103,9819211d-c92e-4802-8be4-018f1efe7932
Sharife Cooper,25.692,1.462,347,2d470912-d9ac-4456-916c-372fc4c84cdc
Jahmir Young,28.433,0.833,933,dc80c41d-ab1d-4aa4-be9f-8830d7e0dd62
Sean McNeil,1.364,2.023,861,4f71e857-f644-4dfc-9ae8-65416c90df71
Jahmai Mashack,24.000,1.667,417,f851dd8e-83fb-42a9-8b76-cc5afe5350fa
Tristen Newton,19.608,2.431,1606,ea2c60f4-30d3-4154-b99e-b907b24658bf
Ethan Taylor,1.368,0.947,197,b4569bbc-b31d-4504-a59a-fe40691d1d00
Malachi Smith,16.500,1.444,896,cf11631f-67ad-4f08-9466-e66859baa68e
Tevian Jones,1.811,1.649,720,1d44afa0-7106-441c-b8ed-cc5e216e866b
Nate Williams,2.457,1.886,1014,3ab12c09-2aae-4bc0-a45e-0132e6751116
DaQuan Jeffries,7.459,6.189,1035,b969f906-aab2-4845-b038-70ec8482bed4
Ricky Council IV,3.375,2.375,188,9027d4b5-4d3d-4ee2-98cd-3d105aa7044b
Daeqwon Plowden,7.931,5.138,919,daca4b6a-526f-49e8-a02e-ba59acb77846
JaQuori McLaughlin,24.417,1.875,613,a05930e9-6846-4c42-b5d6-f859b92d97fd
Hunter Sallis,9.459,1.351,906,6d6c60fb-827b-4b00-9033-8fb8a4fb0f32
Brooks Barnhizer,11.333,4.714,604,6b9ff8ac-a24a-46b2-8a4a-4f4015c6b353
Mitchell Mascari,1.040,2.980,839,fdc935b9-0c73-4ca7-ba6b-f3b5aa1f2205
Damari Monsanto,0.617,2.553,652,63a42b38-d8f6-4214-aa03-cb4263b02a9a
Lucas Williamson,3.178,2.933,930,f0ae386a-6794-4f37-b447-84822aa60c4b
Nate Hinton,4.125,8.500,815,2827a99a-9a36-4b8d-8ca8-e77e9771b69c
Chris Manon,2.438,2.438,1108,5dde0a80-753d-41a6-9ffa-6193317a3a17
Jarron Cumberland,2.745,2.957,767,46d86ca8-8056-40c4-8024-2ba83293aa17
Kobe Bufkin,15.962,2.731,733,9e453254-b85d-43ba-a615-8bf683d94834
Kasparas Jakucionis,17.125,0.125,185,f4881a74-343b-4005-b701-3f53c512aba6
Ethan Thompson,14.375,3.313,467,e303b1cc-a268-4f85-8063-e447c757ede6
Lester Quinones,9.275,8.000,1398,e4c6a53d-37a8-4278-9230-5a9d9ccc6d02
Walter Clayton Jr.,18.500,0.000,52,ae81ff91-c142-4a68-b826-4ae75af6a94f
DeJon Jarreau,26.387,0.226,637,3cd02b89-3d2f-46ff-b392-29215f6825b4
Obadiah Noel,6.571,0.429,107,ae301693-1228-4496-9f09-3dede6e84191
Bryce Thompson,13.957,2.261,580,cc61028a-3c21-4917-a6fe-607bb4085636
Zeke Mayo,9.104,1.833,815,2aa9c687-ca9d-4478-a2c7-8f2797b308b2
Dereon Seabron,22.000,3.667,644,9cd83bc4-5c2c-4f4d-ba20-8fc69a4cfa8a
Javonte Cooke,17.741,1.778,797,0c8af3e4-85bf-4c62-921b-d5cc21594198
Patrick McCaw,1.130,1.391,378,ff42a38f-89ef-11e6-bb23-a45e60e298d3
Chucky Hepburn,26.389,2.111,461,4ac4a0ab-ea85-4870-8bd5-9670073a3df4
Kira Lewis Jr.,13.000,0.775,928,ce287780-67de-44fa-86c2-d87dec5a1e28
Jaire Grayer,0.333,0.167,20,c641880b-c90c-465e-8564-f6a741fae84b
Tyrese Proctor,24.000,1.000,23,27207fcd-251c-4d7b-8d11-48823d8dab1b
John Knight III,3.500,3.500,1352,534e334e-2adb-4b8c-9614-8552f0dc5f6d
Matthew Murrell,2.535,2.860,1035,42aff9d8-9839-4949-ac9d-97663c8eae23
Terrence Shannon Jr.,10.000,0.000,35,94d35dd4-a4fe-47ae-a856-cd0d5b1193a9
Cam Christie,7.667,3.000,87,8a68ba44-d87b-41c9-94f3-c94e88cb37a0
Jaylen Sims,5.750,4.019,1263,4e475993-d453-43ef-a5dc-52e715e3e5db
Drake Powell,5.600,1.600,127,ed72fbc9-1066-46d8-872e-9a437c4e536e
R.J. Davis,20.608,2.490,1295,af3e4f66-d651-4875-9291-4ee32c6a65dd
Nana Appiah,0.500,0.250,31,7ad88c05-18d7-492e-9c41-30b2f77e3266
Giddy Potts,8.400,2.133,278,7ac29d25-418d-4bf3-b302-cda0f4aa7cae
Isaiah Moore,1.000,0.000,7,ffd1ae3a-bd10-436e-a214-71a0761663e4
Bryson Warren,24.741,2.815,735,de89d563-ec4f-4356-8cba-afd95b5a975a
D'Moi Hodge,1.957,4.261,952,4fca8d39-a522-46f0-b222-226b8180e35a
Donovan Williams,7.645,4.806,819,12136b74-23d8-49b4-b4de-98a320969c76
Kyle Guy,14.350,2.700,643,9eed3d99-6049-4cd0-96bb-4fabb8ad8ddd
Marcus Garrett,15.750,2.300,895,723b0c0c-ac5b-4b0c-b84c-01da7be6c705
Wade Taylor IV,23.471,1.000,1211,d809ed56-e0c4-48ab-9cb2-e6e94a8c0842
Jaylen Martin,6.512,1.415,723,70021baf-68ca-4b04-a865-fe10b1450b62
Bronny James,15.250,1.400,516,ec9d7a06-798b-45e0-8eae-a5bfdd92f0ba
Tyreke Key,3.563,2.354,1045,a9ab59d3-2f04-49b0-b4fd-a265d98af568
Alijah Martin,9.925,1.650,1072,c1035422-a088-42e6-8ad3-db400bb52aa1
Hunter Cattoor,0.906,2.500,554,3b01bc5d-08ef-4a1a-afff-52c5c9f81849
Sheldon Edwards,2.927,5.878,866,8d385c74-6c2b-4704-ad41-8e5519b11012
Darius Brown,27.438,0.813,1366,b7ae8764-a482-4551-82ac-7a91c8292e4b
KJ Jones II,1.350,1.125,598,b34e01c3-fde9-402e-a381-1abc45ea21fb
JP Pegues,4.000,1.000,18,dbabc9d0-e8c8-4399-92a9-047c7ffb580f
Matthew Cleveland,1.818,5.545,796,45913c55-0376-4b4f-9935-00471ffb3033
Terry Roberts,16.724,0.621,464,6b0963ac-b00e-46cd-94e8-e60dc3238718
Max Abmas,14.723,3.255,1194,23961594-cb8d-4560-b709-2ace5a6b16a4
Jamal Bieniemy,2.684,0.368,278,5659992f-2487-47ce-83f7-baedce2a090e
Bez Mbeng,4.400,0.750,935,117522bd-3f51-4ef9-99ae-8cf060df132b
Jalen Williams,0.000,0.000,2,04831643-55cd-475f-98a4-76ea6b95557d
RayJ Dennis,29.711,1.158,1175,5c2a5944-cadb-4619-8b0d-04338c63a470
Steven Ashworth,15.333,1.111,402,63e0883f-eae7-4a6c-ad8f-c7670247241e
Caleb Houstan,2.000,4.882,988,0ac0ed6b-ebe7-4dcb-b924-c14e31262efc
Tyler Kolek,30.500,0.500,117,40faa5df-7ced-449d-bd12-300a2938370a
Kadary Richmond,15.757,1.351,849,5f0c2302-aaca-4ac1-b70f-f25abbe14186
Trey Galloway,14.742,1.839,612,8303a10f-1748-43ee-9c4c-59abdffdaf87
Nolan Traore,22.500,0.214,368,4b2dd1ee-169e-4af4-9877-1e600ccc1ac5
James Akinjo,37.107,0.857,737,889010b1-1e41-4488-97c5-030be0d70083
