Shooter,Shots Attempted,qSI,SSI Player ID
Dariq Whitehead,156,-9.64,9f8b2ee3-8cc5-4a92-aeb9-c8c52d6e37a2
Olivier Sarr,156,8.22,584a880d-84b9-40fd-876e-852044392606
Terrence Hargrove Jr.,155,-5.25,06c40ea5-9150-470e-8f6a-7cde4a102ef6
Paul Zilinskas,153,5.42,fb3799f7-55e6-46cd-8dba-16e86ee83d37
Alijah Martin,153,9.58,c1035422-a088-42e6-8ad3-db400bb52aa1
Javonte Smart,152,-1.15,a340ee6f-51b2-400d-8c06-295617b4c779
Alondes Williams,151,12.07,e555cb48-990b-4ef7-8464-59adc6adf34d
Wade Taylor IV,150,5.55,d809ed56-e0c4-48ab-9cb2-e6e94a8c0842
Romeo Weems,150,-8.90,9920a386-699e-42ad-90ac-8fb89d78d1f9
Damari Monsanto,149,11.90,63a42b38-d8f6-4214-aa03-cb4263b02a9a
Chris Mantis,147,13.44,d2d320cb-de1d-4f2f-b238-9697f02b41ff
Alex Morales,144,7.13,21a9c7c7-f211-4710-9932-3ecfa2fd4256
Sean Pedulla,144,7.07,6068f2de-9744-432d-b3f4-f73da0894927
Jaylin Williams,142,4.23,db384374-d594-45b6-a3de-9aa8a66dc226
Chris Youngblood,142,-9.63,35206de4-a3c1-415a-b596-126c0ab7b44a
Tyler Smith,142,5.92,b701694c-6da2-49de-b9a7-ae092466ce67
Trhae Mitchell,140,-7.83,d98ecec8-9937-426e-ba9a-e019ec88d94f
Steve Settle III,140,-3.64,f52af8fd-29ee-4aa7-9c70-e211a5d73a12
Luke Goode,138,4.20,4144db18-4210-42b8-af58-fd1dd83e87c6
Bryson Warren,138,3.99,de89d563-ec4f-4356-8cba-afd95b5a975a
Marcus Burk,138,5.83,017ced69-5d96-4160-b064-3a051a5c9efe
Dillon Jones,138,-0.94,7c13f8c0-55bf-46b9-a41e-cbaeea35c13b
Payton Sandfort,137,0.18,54f7a3fd-6e94-4630-9ca3-e05af980008d
Justin Harmon,136,6.24,4c8abee4-0270-4d98-b4ab-cff9969857fc
Miller Kopp,136,3.69,817c559a-6812-42ce-8373-1e8132f3b917
Javan Johnson,135,3.39,5bf3dc6a-f0bf-4146-9233-0714a95538e5
Kendall Brown,134,-6.07,84863ea4-7e22-4827-9c1e-091a16291b37
Nate Hinton,134,-4.38,2827a99a-9a36-4b8d-8ca8-e77e9771b69c
Isaiah Roby,132,3.08,19602b62-cfbe-4d35-81f5-bc244327960e
Mac McClung,132,3.90,d9671fc0-754d-4cd1-b61d-2f6526c31497
Cameron Matthews,131,-11.84,2b3321e5-dc2b-4c37-9ee5-36336690c3ec
Phillip Wheeler,130,0.55,3d20e735-543b-415b-835b-fa80295fa157
RJ Melendez,130,-2.77,090cc6af-edb2-4cf8-a374-9b90193c330d
Jalen Slawson,129,-5.79,ee32b868-f2aa-47fd-bc12-e2df467173a0
Enrique Freeman,129,-5.18,f838df3f-72c5-4cf1-a555-7182e3dccd13
Jaden Akins,129,-2.20,e6acbf72-2032-4b3f-9672-62f8052c1873
Teddy Allen,129,11.90,03318058-7f1e-4d54-a8b4-cbaf7e836a78
Emanuel Miller,129,-8.54,9333d369-df08-4c59-9073-3164d584f481
MJ Walker,128,-3.53,2733a0f6-5816-47e9-9972-a4f253f15038
RayJ Dennis,128,4.70,5c2a5944-cadb-4619-8b0d-04338c63a470
Gabe McGlothan,128,5.90,32f54c28-47c6-4d3c-8364-c3956aef7190
Max Shulga,125,9.46,be819393-353e-4c46-b682-d2ee0d11e736
DaRon Holmes II,125,-2.51,33ee598f-dbec-467d-982c-9722af3b3261
Buddy Boeheim,125,10.51,b19737e4-2806-4548-b14b-2062175fb05e
Hayden Gray,125,0.83,e901ec95-f7cf-40c9-af32-8dabb981b3cd
Donovan Williams,124,-0.17,12136b74-23d8-49b4-b4de-98a320969c76
Aaron Scott,124,2.37,800b6f8d-e4b2-40c8-9891-40fa3f84efc3
Taelon Peter,123,-1.77,c870f7e6-686b-40b6-859c-ced3b397cbd8
Kessler Edwards,123,6.84,0dbaa8bb-491d-40b7-ad09-f4605dda699c
Toby Okani,122,-9.91,a6c4645d-9238-44cf-92aa-fd318ebb8ebf
David Roddy,121,7.85,ab0a4d97-fd7b-40d9-a72f-b2a862039584
Kobe Johnson,120,-7.87,9f123592-d747-4a41-b903-ad6bcb6ac751
Arthur Kaluma,119,9.99,c7a03fd4-8ba5-4f9e-b62d-db9492da6f1c
Patrick Baldwin Jr.,118,-2.47,45b328c0-b3b8-4a36-a0c1-28e39227ca85
Taevion Kinsey,117,2.22,b17e9b18-8167-47ec-b96c-1a1c88208376
RJ Felton,117,-2.73,a593fa2b-cb79-4f8a-8139-bba7a2133f2c
Hunter Cattoor,116,10.67,3b01bc5d-08ef-4a1a-afff-52c5c9f81849
Chaz Lanier,114,7.90,3ff2c55c-8857-4cde-85eb-a42b87da7dcd
Leaky Black,114,4.52,baf1b89d-5bf9-44d8-ae08-43b643b89914
Chance McMillian,113,1.51,d40fdb50-4ea9-488f-85e3-aa57164f9d0a
Alize Johnson,113,4.61,c97ec77d-b190-477c-8f04-2d8be4554830
Ron Harper Jr.,111,11.75,0fc9db0f-ca5e-49e9-a003-973fa4fd8839
Rocco Zikarsky,110,-1.97,7a36a328-5e4b-42b6-a21b-39e9f97e0188
Pacome Dadiet,110,-1.05,810fd8fe-5999-4962-9441-004f4a25fea2
Mark Sears,110,6.64,6af77143-6aac-4199-ac80-bfa704e2ca51
Paul Watson,110,1.76,1aae577a-f08a-437b-81ed-160d66e586b9
Ethan Thompson,110,19.97,e303b1cc-a268-4f85-8063-e447c757ede6
Harrison Ingram,109,0.76,289b86f4-5aea-4603-a5e7-54793e5eb584
Tyson Degenhart,109,2.90,7ce310e3-5034-435f-85fd-9db70356ed75
Daishen Nix,109,-11.15,06212573-e2e8-4bfa-98cd-4484063dead1
Au'Diese Toney,109,15.05,a127ee52-bbec-46b6-990c-93a2c3d57b87
Kyle Guy,108,4.17,9eed3d99-6049-4cd0-96bb-4fabb8ad8ddd
Trey Alexander,108,0.30,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Jabri Abdur-Rahim,107,2.59,5ba18e46-b710-44bf-8369-1185adf0ce77
Jonathan Pierre,106,-6.68,94306db4-8243-44b3-9f3e-eb1dd9e258b7
Johni Broome,106,-4.30,12c34cc3-1005-4454-bcfa-a5332744fd4c
Tosan Evbuomwan,106,-1.15,3836af33-7171-4f6b-b4e3-7dc129d8efa6
LJ Figueroa,103,12.63,629382e8-fcc6-4974-b0a3-99fd67940f2d
Igor Milicic, Jr.,103,-8.29,96e51137-1852-4b4b-8809-7d07d81b22a8
Kobe Stewart,103,-4.49,9c8748fc-6d1c-4911-99a0-94e1cf486b48
Jeremiah Robinson-Earl,102,-6.62,1a9ac6bd-8b02-4fe8-8096-c435a2a90100
Alex Antetokounmpo,102,-8.73,34a56ad4-cc65-4406-9566-ff884e10c7af
Cameron McGriff,101,7.58,55ec130c-b918-4d9b-9fe5-9b79a5f370f2
Kira Lewis Jr.,101,-8.63,ce287780-67de-44fa-86c2-d87dec5a1e28
Desmond Cambridge,100,-8.69,5f4ae0bb-b9a5-4c83-8441-1e627500c265
Javonte Cooke,100,1.84,0c8af3e4-85bf-4c62-921b-d5cc21594198
Terrell Brown Jr.,99,4.14,0784aa6d-2f58-4e8f-8fd0-d3cb2fd08ff8
Isaiah Crawford,99,9.27,cc5a020f-5862-494b-a997-26288b4f4f12
Damion Baugh,99,-9.24,bcde43ef-a7dd-4d4d-9d7e-a0585052e0b9
Donte Ingram,99,-7.46,1034b6f9-7fc5-4f5f-94fa-2ab920658dd3
Bobi Klintman,99,10.47,61c18542-cf37-49c7-b486-337bb809d326
Nick Jourdain,99,-10.90,1faa4121-7c60-4b48-91c7-217d64555324
MarJon Beauchamp,99,-7.01,a17b838f-efcd-4d85-adab-39e05d579e13
Zeke Mayo,99,4.07,2aa9c687-ca9d-4478-a2c7-8f2797b308b2
Kameron Warrens,99,2.13,14a1175f-1e82-4a12-9edf-f9445dc58270
Giorgi Bezhanishvili,98,6.65,4d0b25c0-eb2c-423a-875e-ba9f74999bdf
Kennedy Chandler,96,-14.42,90cef14e-ebcc-4a00-94e1-b06d8ca04701
Tre King,96,2.23,2928912b-dd61-4f60-aa20-a01d295e03d6
Saint Thomas,96,-6.07,9ac60fc8-a677-4c67-8b1a-92c61ac71eec
Zhaire Smith,95,14.26,bf29165e-4d8e-4760-a070-5502dd6c2176
Wendell Moore Jr.,94,3.52,96f746dd-7dfb-4ea4-a98c-39ed5d2a0fd5
Tevian Jones,93,6.19,1d44afa0-7106-441c-b8ed-cc5e216e866b
Drew Peterson,93,0.21,b385f90c-bbc7-4346-8507-4d626e2c0c61
Trey Galloway,93,-12.69,8303a10f-1748-43ee-9c4c-59abdffdaf87
Matthew Cleveland,93,-1.18,45913c55-0376-4b4f-9935-00471ffb3033
Adama Bal,92,-5.54,3559f9a3-9132-409e-a701-a4c5757cb325
E.J. Liddell,91,3.55,f76c835b-10f6-42aa-aafe-3c87b5be8866
Jahmir Young,91,4.71,dc80c41d-ab1d-4aa4-be9f-8830d7e0dd62
Chase Hunter,91,-10.11,50fd1b80-b17c-4168-9cd8-b67adeef9040
Javante McCoy,91,-7.43,fac10e71-d936-4a9b-b017-2e3b743f9833
DaJuan Gordon,91,10.56,b7cd24eb-bd7e-4dcc-99a2-7236606d1541
Dalano Banton,91,-1.40,ccd8ec3b-3e5b-4f39-9b41-91882f179a73
DJ Rodman,90,17.01,18ec54f9-3c06-457d-a0c8-04f2aa513754
Jaden Springer,90,-6.18,8a1c8d1a-13c8-487e-b85e-6b10ecc1d39f
Erik Reynolds II,89,-6.97,f3572151-dba9-4dc4-a48a-792e17a3180b
Jayden Nunn,88,2.19,174b4cc1-dd31-428b-97ad-093422ffe324
Jarkel Joiner,88,2.55,994212e5-17be-4696-bd46-0efcd68787bc
CJ Huntley,88,-3.06,a93dac29-3dee-4328-8787-673c2c4d207c
Chris Livingston,87,-13.69,f79d533e-f423-4752-a088-6d507d795bdb
Tyler Polley,85,-6.24,e48e99e8-0b78-493c-9d6f-15b65e7869c6
R.J. Davis,85,18.04,af3e4f66-d651-4875-9291-4ee32c6a65dd
AJ Hoggard,85,10.56,91fbbfa3-eabc-4c5d-b0d0-b2fc674c84bb
Evan Gilyard,84,1.32,0f656aa8-c62c-4fad-ad9f-3442cdc15e50
Darius Brown,84,7.16,b7ae8764-a482-4551-82ac-7a91c8292e4b
Malevy Leons,83,-0.24,a6b91d1a-7a93-4bda-8562-d762d1f5ad47
Zack Austin,82,11.13,cdb9a6bd-2259-43bc-9209-03da5b72234b
Jaelen House,82,-0.80,e14de0fe-50fa-4322-a5a2-55cb2137e6f2
Killian Hayes,82,-1.91,9a826fec-5df7-4a14-8637-3364dc9433c2
PJ Hall,82,2.16,4af59bef-250a-46aa-a5d3-e448a55f61ad
Johnny Davis,81,4.54,bd507dbb-cb87-4e45-ad2e-1990df07ac20
Mouhamadou Gueye,81,-8.80,cc3ddd0b-2be3-4043-a3e9-7ae15f6e1ab0
Ruben Nembhard Jr.,80,-20.64,27574eb5-d76b-4147-882e-38f3edc014b3
Chris Manon,80,-12.77,5dde0a80-753d-41a6-9ffa-6193317a3a17
JaQuori McLaughlin,79,-2.22,a05930e9-6846-4c42-b5d6-f859b92d97fd
Ahmad Caver,79,1.61,b37bbd3b-102d-42c2-9bfe-7874d64e9068
Christian Shumate,78,5.30,40ebb929-1947-4008-9cdc-046aa3a4bd87
Malachi Smith,78,14.25,cf11631f-67ad-4f08-9466-e66859baa68e
Matt Cross,78,8.24,8b71b1ce-93f8-4cf0-9099-64c91af44202
Victor Oladipo,77,-1.94,ff415fa8-89ef-11e6-bc85-a45e60e298d3
Reece Beekman,77,-15.53,a419b920-f119-41d8-af53-47d3b49ea811
Hunter Sallis,77,-10.70,6d6c60fb-827b-4b00-9033-8fb8a4fb0f32
Viktor Lakhin,77,-5.43,386162d7-b5e6-4aca-9174-cfba1382d491
Jarron Cumberland,77,-4.60,46d86ca8-8056-40c4-8024-2ba83293aa17
Isaac Jones,76,-8.53,a35d4b94-e6ff-4f4a-8f40-d64d70dd4c3a
Stefan Todorovic,75,-11.14,a0dbe31a-75c6-4777-a920-d506c5633bdf
Liam Robbins,74,-5.53,831eb28e-7713-4fbe-bf6b-dd0e1e20b1f5
D.J. Carton,74,-14.68,b902fc9f-4b1a-417f-8af7-bfa5c66c95a3
Mo Bamba,74,9.58,ee761e41-d0d2-4a56-84cf-353e2ae5a961
